Year,State,Type,Length,Expense,Value
2013,Alabama,Private,4-year,Fees/Tuition,13983
2013,Alabama,Private,4-year,Room/Board,8503
2013,Alabama,Public In-State,2-year,Fees/Tuition,4048
2013,Alabama,Public In-State,4-year,Fees/Tuition,8073
2013,Alabama,Public In-State,4-year,Room/Board,8473
2013,Alabama,Public Out-of-State,2-year,Fees/Tuition,7736
2013,Alabama,Public Out-of-State,4-year,Fees/Tuition,20380
2013,Alabama,Public Out-of-State,4-year,Room/Board,8473
2013,Alaska,Private,4-year,Fees/Tuition,21496
2013,Alaska,Private,4-year,Room/Board,8923
2013,Alaska,Public In-State,2-year,Fees/Tuition,3972
2013,Alaska,Public In-State,4-year,Fees/Tuition,6317
2013,Alaska,Public In-State,4-year,Room/Board,9098
2013,Alaska,Public Out-of-State,2-year,Fees/Tuition,4150
2013,Alaska,Public Out-of-State,4-year,Fees/Tuition,18790
2013,Alaska,Public Out-of-State,4-year,Room/Board,9098
2013,Arizona,Private,4-year,Fees/Tuition,11650
2013,Arizona,Private,4-year,Room/Board,8744
2013,Arizona,Public In-State,2-year,Fees/Tuition,1842
2013,Arizona,Public In-State,4-year,Fees/Tuition,9694
2013,Arizona,Public In-State,4-year,Room/Board,9370
2013,Arizona,Public Out-of-State,2-year,Fees/Tuition,7870
2013,Arizona,Public Out-of-State,4-year,Fees/Tuition,21201
2013,Arizona,Public Out-of-State,4-year,Room/Board,9370
2013,Arkansas,Private,4-year,Fees/Tuition,18004
2013,Arkansas,Private,4-year,Room/Board,7263
2013,Arkansas,Public In-State,2-year,Fees/Tuition,2633
2013,Arkansas,Public In-State,4-year,Fees/Tuition,6604
2013,Arkansas,Public In-State,4-year,Room/Board,7331
2013,Arkansas,Public Out-of-State,2-year,Fees/Tuition,4605
2013,Arkansas,Public Out-of-State,4-year,Fees/Tuition,15669
2013,Arkansas,Public Out-of-State,4-year,Room/Board,7331
2013,California,Private,4-year,Fees/Tuition,28345
2013,California,Private,4-year,Room/Board,12254
2013,California,Public In-State,2-year,Fees/Tuition,1225
2013,California,Public In-State,4-year,Fees/Tuition,8892
2013,California,Public In-State,4-year,Room/Board,12137
2013,California,Public Out-of-State,2-year,Fees/Tuition,6267
2013,California,Public Out-of-State,4-year,Fees/Tuition,30765
2013,California,Public Out-of-State,4-year,Room/Board,12137
2013,Colorado,Private,4-year,Fees/Tuition,19967
2013,Colorado,Private,4-year,Room/Board,10939
2013,Colorado,Public In-State,2-year,Fees/Tuition,3004
2013,Colorado,Public In-State,4-year,Fees/Tuition,7656
2013,Colorado,Public In-State,4-year,Room/Board,10396
2013,Colorado,Public Out-of-State,2-year,Fees/Tuition,8882
2013,Colorado,Public Out-of-State,4-year,Fees/Tuition,25470
2013,Colorado,Public Out-of-State,4-year,Room/Board,10396
2013,Connecticut,Private,4-year,Fees/Tuition,35336
2013,Connecticut,Private,4-year,Room/Board,12926
2013,Connecticut,Public In-State,2-year,Fees/Tuition,3596
2013,Connecticut,Public In-State,4-year,Fees/Tuition,9517
2013,Connecticut,Public In-State,4-year,Room/Board,11138
2013,Connecticut,Public Out-of-State,2-year,Fees/Tuition,10512
2013,Connecticut,Public Out-of-State,4-year,Fees/Tuition,26688
2013,Connecticut,Public Out-of-State,4-year,Room/Board,11138
2013,Delaware,Private,4-year,Fees/Tuition,12943
2013,Delaware,Private,4-year,Room/Board,10758
2013,Delaware,Public In-State,2-year,Fees/Tuition,3242
2013,Delaware,Public In-State,4-year,Fees/Tuition,10929
2013,Delaware,Public In-State,4-year,Room/Board,11011
2013,Delaware,Public Out-of-State,2-year,Fees/Tuition,7562
2013,Delaware,Public Out-of-State,4-year,Fees/Tuition,26228
2013,Delaware,Public Out-of-State,4-year,Room/Board,11011
2013,District of Columbia,Private,4-year,Fees/Tuition,35524
2013,District of Columbia,Private,4-year,Room/Board,12916
2013,District of Columbia,Public In-State,4-year,Fees/Tuition,7244
2013,District of Columbia,Public Out-of-State,4-year,Fees/Tuition,14540
2013,Florida,Private,4-year,Fees/Tuition,20155
2013,Florida,Private,4-year,Room/Board,9968
2013,Florida,Public In-State,2-year,Fees/Tuition,2486
2013,Florida,Public In-State,4-year,Fees/Tuition,4377
2013,Florida,Public In-State,4-year,Room/Board,9793
2013,Florida,Public Out-of-State,2-year,Fees/Tuition,6889
2013,Florida,Public Out-of-State,4-year,Fees/Tuition,17050
2013,Florida,Public Out-of-State,4-year,Room/Board,9793
2013,Georgia,Private,4-year,Fees/Tuition,22456
2013,Georgia,Private,4-year,Room/Board,10721
2013,Georgia,Public In-State,2-year,Fees/Tuition,2652
2013,Georgia,Public In-State,4-year,Fees/Tuition,6325
2013,Georgia,Public In-State,4-year,Room/Board,9005
2013,Georgia,Public Out-of-State,2-year,Fees/Tuition,7554
2013,Georgia,Public Out-of-State,4-year,Fees/Tuition,22393
2013,Georgia,Public Out-of-State,4-year,Room/Board,9005
2013,Hawaii,Private,4-year,Fees/Tuition,14287
2013,Hawaii,Private,4-year,Room/Board,11522
2013,Hawaii,Public In-State,2-year,Fees/Tuition,2484
2013,Hawaii,Public In-State,4-year,Fees/Tuition,7731
2013,Hawaii,Public In-State,4-year,Room/Board,9256
2013,Hawaii,Public Out-of-State,2-year,Fees/Tuition,7166
2013,Hawaii,Public Out-of-State,4-year,Fees/Tuition,23614
2013,Hawaii,Public Out-of-State,4-year,Room/Board,9256
2013,Idaho,Private,4-year,Fees/Tuition,6752
2013,Idaho,Private,4-year,Room/Board,4792
2013,Idaho,Public In-State,2-year,Fees/Tuition,2915
2013,Idaho,Public In-State,4-year,Fees/Tuition,5980
2013,Idaho,Public In-State,4-year,Room/Board,7496
2013,Idaho,Public Out-of-State,2-year,Fees/Tuition,7276
2013,Idaho,Public Out-of-State,4-year,Fees/Tuition,17736
2013,Idaho,Public Out-of-State,4-year,Room/Board,7496
2013,Illinois,Private,4-year,Fees/Tuition,26299
2013,Illinois,Private,4-year,Room/Board,10798
2013,Illinois,Public In-State,2-year,Fees/Tuition,3192
2013,Illinois,Public In-State,4-year,Fees/Tuition,11882
2013,Illinois,Public In-State,4-year,Room/Board,10340
2013,Illinois,Public Out-of-State,2-year,Fees/Tuition,9034
2013,Illinois,Public Out-of-State,4-year,Fees/Tuition,26873
2013,Illinois,Public Out-of-State,4-year,Room/Board,10340
2013,Indiana,Private,4-year,Fees/Tuition,26794
2013,Indiana,Private,4-year,Room/Board,9574
2013,Indiana,Public In-State,2-year,Fees/Tuition,3455
2013,Indiana,Public In-State,4-year,Fees/Tuition,8269
2013,Indiana,Public In-State,4-year,Room/Board,9489
2013,Indiana,Public Out-of-State,2-year,Fees/Tuition,7302
2013,Indiana,Public Out-of-State,4-year,Fees/Tuition,26538
2013,Indiana,Public Out-of-State,4-year,Room/Board,9489
2013,Iowa,Private,4-year,Fees/Tuition,15426
2013,Iowa,Private,4-year,Room/Board,6832
2013,Iowa,Public In-State,2-year,Fees/Tuition,4099
2013,Iowa,Public In-State,4-year,Fees/Tuition,7832
2013,Iowa,Public In-State,4-year,Room/Board,8525
2013,Iowa,Public Out-of-State,2-year,Fees/Tuition,5190
2013,Iowa,Public Out-of-State,4-year,Fees/Tuition,23019
2013,Iowa,Public Out-of-State,4-year,Room/Board,8525
2013,Kansas,Private,4-year,Fees/Tuition,20852
2013,Kansas,Private,4-year,Room/Board,7673
2013,Kansas,Public In-State,2-year,Fees/Tuition,2621
2013,Kansas,Public In-State,4-year,Fees/Tuition,6970
2013,Kansas,Public In-State,4-year,Room/Board,6931
2013,Kansas,Public Out-of-State,2-year,Fees/Tuition,4023
2013,Kansas,Public Out-of-State,4-year,Fees/Tuition,17646
2013,Kansas,Public Out-of-State,4-year,Room/Board,6931
2013,Kentucky,Private,4-year,Fees/Tuition,20639
2013,Kentucky,Private,4-year,Room/Board,8015
2013,Kentucky,Public In-State,2-year,Fees/Tuition,3391
2013,Kentucky,Public In-State,4-year,Fees/Tuition,8416
2013,Kentucky,Public In-State,4-year,Room/Board,8164
